I, [2019-03-23T08:23:16.296346 #13171]  INFO -- Kitchen: -----> Starting Kitchen (v1.24.0)
E, [2019-03-23T08:23:16.296870 #13171] ERROR -- Kitchen: ------Exception-------
E, [2019-03-23T08:23:16.296936 #13171] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2019-03-23T08:23:16.296982 #13171] ERROR -- Kitchen: Message: Kitchen YAML file /home/anju/Apps/TestDrivenInfrastructure/example/chef-starter/chef-repo/cookbooks/.kitchen.yml does not exist.
E, [2019-03-23T08:23:16.297026 #13171] ERROR -- Kitchen: ----------------------
E, [2019-03-23T08:23:16.297067 #13171] ERROR -- Kitchen: ------Backtrace-------
E, [2019-03-23T08:23:16.297104 #13171] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2019-03-23T08:23:16.297145 #13171] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:152:in `data'
E, [2019-03-23T08:23:16.297186 #13171] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:131:in `suites'
E, [2019-03-23T08:23:16.297226 #13171] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2019-03-23T08:23:16.297264 #13171] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2019-03-23T08:23:16.297302 #13171] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:117:in `instances'
E, [2019-03-23T08:23:16.297341 #13171] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2019-03-23T08:23:16.297456 #13171] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2019-03-23T08:23:16.297497 #13171] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2019-03-23T08:23:16.297535 #13171] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.5.0/benchmark.rb:293:in `measure'
E, [2019-03-23T08:23:16.297574 #13171] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command/action.rb:34:in `call'
E, [2019-03-23T08:23:16.297612 #13171] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/cli.rb:52:in `perform'
E, [2019-03-23T08:23:16.297649 #13171] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2019-03-23T08:23:16.297687 #13171] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2019-03-23T08:23:16.297724 #13171] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2019-03-23T08:23:16.297763 #13171] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2019-03-23T08:23:16.297801 #13171] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2019-03-23T08:23:16.297839 #13171] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/bin/kitchen:13:in `block in <top (required)>'
E, [2019-03-23T08:23:16.297876 #13171] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2019-03-23T08:23:16.297913 #13171] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/bin/kitchen:13:in `<top (required)>'
E, [2019-03-23T08:23:16.297949 #13171] ERROR -- Kitchen: /usr/bin/kitchen:306:in `load'
E, [2019-03-23T08:23:16.297986 #13171] ERROR -- Kitchen: /usr/bin/kitchen:306:in `<main>'
E, [2019-03-23T08:23:16.298021 #13171] ERROR -- Kitchen: ----End Backtrace-----
